"","twelve","type","month","scenario","mean","min","max","market_cat"
"1",1,"harvest_lbs",1,"model",0,0,0,"Large males (>5.5in)"
"2",1,"harvest_lbs",1,"model",0,0,0,"Small males (5-5.5in)"
"3",1,"harvest_lbs",1,"model",0,0,0,"Females (pots)"
"4",1,"harvest_lbs",1,"model",0,0,0,"Peelers"
"5",1,"harvest_lbs",1,"model",83933.6831253698,60711.3086953294,107156.05755541,"Females (dredge)"
"6",2,"harvest_lbs",2,"model",0,0,0,"Large males (>5.5in)"
"7",2,"harvest_lbs",2,"model",0,0,0,"Small males (5-5.5in)"
"8",2,"harvest_lbs",2,"model",0,0,0,"Females (pots)"
"9",2,"harvest_lbs",2,"model",0,0,0,"Peelers"
"10",2,"harvest_lbs",2,"model",82783.2242538134,60065.0387930773,105501.409714549,"Females (dredge)"
"11",3,"harvest_lbs",3,"model",0,0,0,"Large males (>5.5in)"
"12",3,"harvest_lbs",3,"model",0,0,0,"Small males (5-5.5in)"
"13",3,"harvest_lbs",3,"model",0,0,0,"Females (pots)"
"14",3,"harvest_lbs",3,"model",0,0,0,"Peelers"
"15",3,"harvest_lbs",3,"model",38946.5817781624,28404.4492297518,49488.714326573,"Females (dredge)"
"16",4,"harvest_lbs",4,"model",6886.76957775446,4984.64426000928,8788.89489549963,"Large males (>5.5in)"
"17",4,"harvest_lbs",4,"model",8852.70097792611,6411.36948737909,11294.0324684731,"Small males (5-5.5in)"
"18",4,"harvest_lbs",4,"model",140031.255970648,101545.655631926,178516.856309369,"Females (pots)"
"19",4,"harvest_lbs",4,"model",1218.78529838905,909.290502929598,1528.2800938485,"Peelers"
"20",4,"harvest_lbs",4,"model",0,0,0,"Females (dredge)"
"21",5,"harvest_lbs",5,"model",138656.436744283,100410.89097489,176901.982513676,"Large males (>5.5in)"
"22",5,"harvest_lbs",5,"model",72149.4385414767,52433.5074611891,91865.3696217644,"Small males (5-5.5in)"
"23",5,"harvest_lbs",5,"model",184626.414376597,134488.195437279,234764.633315915,"Females (pots)"
"24",5,"harvest_lbs",5,"model",12586.87817727,9316.82362081344,15856.9327337266,"Peelers"
"25",5,"harvest_lbs",5,"model",0,0,0,"Females (dredge)"
"26",6,"harvest_lbs",6,"model",154592.089033823,114209.027104941,194975.150962704,"Large males (>5.5in)"
"27",6,"harvest_lbs",6,"model",86857.1205340107,64589.0679501235,109125.173117898,"Small males (5-5.5in)"
"28",6,"harvest_lbs",6,"model",50757.4304497517,37733.9010810087,63780.9598184948,"Females (pots)"
"29",6,"harvest_lbs",6,"model",21687.2009321463,17055.1504759713,26319.2513883213,"Peelers"
"30",6,"harvest_lbs",6,"model",0,0,0,"Females (dredge)"
"31",7,"harvest_lbs",7,"model",215995.417001755,169280.950243419,262709.88376009,"Large males (>5.5in)"
"32",7,"harvest_lbs",7,"model",119944.22867294,96185.7635424703,143702.69380341,"Small males (5-5.5in)"
"33",7,"harvest_lbs",7,"model",70482.2292404699,55417.6237490758,85546.834731864,"Females (pots)"
"34",7,"harvest_lbs",7,"model",18033.5706622139,16144.6220169877,19922.5193074401,"Peelers"
"35",7,"harvest_lbs",7,"model",0,0,0,"Females (dredge)"
"36",8,"harvest_lbs",8,"model",263177.530350423,219272.444342918,307082.616357928,"Large males (>5.5in)"
"37",8,"harvest_lbs",8,"model",132449.235868665,111387.046869883,153511.424867448,"Small males (5-5.5in)"
"38",8,"harvest_lbs",8,"model",81403.5116624808,67961.9596862854,94845.0636386762,"Females (pots)"
"39",8,"harvest_lbs",8,"model",7927.90346573141,6335.42882879646,9520.37810266636,"Peelers"
"40",8,"harvest_lbs",8,"model",0,0,0,"Females (dredge)"
"41",9,"harvest_lbs",9,"model",192746.300428949,179557.489148301,205935.111709597,"Large males (>5.5in)"
"42",9,"harvest_lbs",9,"model",94983.7221352394,90831.2979371219,99136.1463333569,"Small males (5-5.5in)"
"43",9,"harvest_lbs",9,"model",58219.9012265237,54830.0668435872,61609.7356094601,"Females (pots)"
"44",9,"harvest_lbs",9,"model",3898.81676560272,2722.28357571471,5075.34995549073,"Peelers"
"45",9,"harvest_lbs",9,"model",0,0,0,"Females (dredge)"
"46",10,"harvest_lbs",10,"model",184196.623466135,174396.885018208,193996.361914062,"Large males (>5.5in)"
"47",10,"harvest_lbs",10,"model",87923.5133459369,84046.7848670355,91800.2418248383,"Small males (5-5.5in)"
"48",10,"harvest_lbs",10,"model",55758.3133660336,53292.8809265087,58223.7458055584,"Females (pots)"
"49",10,"harvest_lbs",10,"model",3989.31197527466,3537.95483073132,4440.669119818,"Peelers"
"50",10,"harvest_lbs",10,"model",0,0,0,"Females (dredge)"
"51",11,"harvest_lbs",11,"model",8769.86521193259,8385.30496406545,9154.42545979973,"Large males (>5.5in)"
"52",11,"harvest_lbs",11,"model",11184.6634051406,10721.369599919,11647.9572103621,"Small males (5-5.5in)"
"53",11,"harvest_lbs",11,"model",45676.3031882681,43686.7572074568,47665.8491690794,"Females (pots)"
"54",11,"harvest_lbs",11,"model",1187.63526913501,1077.35686329971,1297.91367497031,"Peelers"
"55",11,"harvest_lbs",11,"model",0,0,0,"Females (dredge)"
"56",12,"harvest_lbs",12,"model",0,0,0,"Large males (>5.5in)"
"57",12,"harvest_lbs",12,"model",0,0,0,"Small males (5-5.5in)"
"58",12,"harvest_lbs",12,"model",0,0,0,"Females (pots)"
"59",12,"harvest_lbs",12,"model",0,0,0,"Peelers"
"60",12,"harvest_lbs",12,"model",100218.732780249,95654.3464684788,104783.11909202,"Females (dredge)"
"61",1,"harvest_lbs",1,"actual",152817.408695652,121907.297620058,183727.519771246,"Females (dredge)"
"62",1,"harvest_lbs",1,"actual",0,0,0,"Females (pots)"
"63",1,"harvest_lbs",1,"actual",0,0,0,"Large males (>5.5in)"
"64",1,"harvest_lbs",1,"actual",0,0,0,"Peelers"
"65",1,"harvest_lbs",1,"actual",0,0,0,"Small males (5-5.5in)"
"66",2,"harvest_lbs",2,"actual",118232.234782609,100018.021673307,136446.44789191,"Females (dredge)"
"67",2,"harvest_lbs",2,"actual",0,0,0,"Females (pots)"
"68",2,"harvest_lbs",2,"actual",0,0,0,"Large males (>5.5in)"
"69",2,"harvest_lbs",2,"actual",0,0,0,"Peelers"
"70",2,"harvest_lbs",2,"actual",0,0,0,"Small males (5-5.5in)"
"71",3,"harvest_lbs",3,"actual",46518,32560.5273013894,60475.4726986106,"Females (dredge)"
"72",3,"harvest_lbs",3,"actual",37147.5,0,153219.838578143,"Females (pots)"
"73",3,"harvest_lbs",3,"actual",8605,0,34786.1274937823,"Large males (>5.5in)"
"74",3,"harvest_lbs",3,"actual",0,0,0,"Peelers"
"75",3,"harvest_lbs",3,"actual",1110,0,3964.69750135859,"Small males (5-5.5in)"
"76",4,"harvest_lbs",4,"actual",0,0,0,"Females (dredge)"
"77",4,"harvest_lbs",4,"actual",181755.875,99390.9698293293,264120.780170671,"Females (pots)"
"78",4,"harvest_lbs",4,"actual",31456.3518181818,17194.1810642771,45718.5225720865,"Large males (>5.5in)"
"79",4,"harvest_lbs",4,"actual",34.3136363636364,2.05505842180875,66.572214305464,"Peelers"
"80",4,"harvest_lbs",4,"actual",5248.85263157895,1486.3592732467,9011.3459899112,"Small males (5-5.5in)"
"81",5,"harvest_lbs",5,"actual",0,0,0,"Females (dredge)"
"82",5,"harvest_lbs",5,"actual",333343.522608696,240679.667551665,426007.377665726,"Females (pots)"
"83",5,"harvest_lbs",5,"actual",89788.4643478261,72016.4476553092,107560.481040343,"Large males (>5.5in)"
"84",5,"harvest_lbs",5,"actual",9177.43272727273,1994.42462148706,16360.4408330584,"Peelers"
"85",5,"harvest_lbs",5,"actual",12662.5509090909,7709.91949999592,17615.1823181859,"Small males (5-5.5in)"
"86",6,"harvest_lbs",6,"actual",0,0,0,"Females (dredge)"
"87",6,"harvest_lbs",6,"actual",56684.56,45583.5771424138,67785.5428575862,"Females (pots)"
"88",6,"harvest_lbs",6,"actual",112808.879130435,91988.8689187122,133628.889342157,"Large males (>5.5in)"
"89",6,"harvest_lbs",6,"actual",27632.1652173913,21386.4841308098,33877.8463039728,"Peelers"
"90",6,"harvest_lbs",6,"actual",58295.7904347826,44109.971135534,72481.6097340312,"Small males (5-5.5in)"
"91",7,"harvest_lbs",7,"actual",0,0,0,"Females (dredge)"
"92",7,"harvest_lbs",7,"actual",70396.8395652174,54669.5898223468,86124.089308088,"Females (pots)"
"93",7,"harvest_lbs",7,"actual",289780.37,255688.36514674,323872.37485326,"Large males (>5.5in)"
"94",7,"harvest_lbs",7,"actual",10401.3526086957,7842.76485311854,12959.9403642728,"Peelers"
"95",7,"harvest_lbs",7,"actual",181802.763478261,153379.914190342,210225.612766179,"Small males (5-5.5in)"
"96",8,"harvest_lbs",8,"actual",0,0,0,"Females (dredge)"
"97",8,"harvest_lbs",8,"actual",83208.7373913043,68977.4715719393,97440.0032106694,"Females (pots)"
"98",8,"harvest_lbs",8,"actual",453569.639565217,408636.424469868,498502.854660566,"Large males (>5.5in)"
"99",8,"harvest_lbs",8,"actual",7888.62,6081.13812287903,9696.10187712097,"Peelers"
"100",8,"harvest_lbs",8,"actual",239540.156956522,197023.709119671,282056.604793372,"Small males (5-5.5in)"
"101",9,"harvest_lbs",9,"actual",0,0,0,"Females (dredge)"
"102",9,"harvest_lbs",9,"actual",154571.219565217,129834.817786557,179307.621343878,"Females (pots)"
"103",9,"harvest_lbs",9,"actual",290861.339130435,259680.175033921,322042.503226949,"Large males (>5.5in)"
"104",9,"harvest_lbs",9,"actual",2338.10086956522,1608.80470277569,3067.39703635475,"Peelers"
"105",9,"harvest_lbs",9,"actual",122438.514347826,97226.3807139944,147650.647981658,"Small males (5-5.5in)"
"106",10,"harvest_lbs",10,"actual",0,0,0,"Females (dredge)"
"107",10,"harvest_lbs",10,"actual",81860.82,61171.7151868711,102549.924813129,"Females (pots)"
"108",10,"harvest_lbs",10,"actual",91112.197826087,78959.8517291563,103264.543923018,"Large males (>5.5in)"
"109",10,"harvest_lbs",10,"actual",218.327391304348,162.578911818905,274.07587078979,"Peelers"
"110",10,"harvest_lbs",10,"actual",41124.6334782609,31119.5610025843,51129.7059539374,"Small males (5-5.5in)"
"111",11,"harvest_lbs",11,"actual",0,0,0,"Females (dredge)"
"112",11,"harvest_lbs",11,"actual",10124.0922727273,3133.92666741683,17114.2578780377,"Females (pots)"
"113",11,"harvest_lbs",11,"actual",8559.545,3461.98380957951,13657.1061904205,"Large males (>5.5in)"
"114",11,"harvest_lbs",11,"actual",0,0,0,"Peelers"
"115",11,"harvest_lbs",11,"actual",4909.5005,1841.07159094222,7977.92940905779,"Small males (5-5.5in)"
"116",12,"harvest_lbs",12,"actual",112536.27826087,93226.7347429664,131845.821778773,"Females (dredge)"
"117",12,"harvest_lbs",12,"actual",0,0,0,"Females (pots)"
"118",12,"harvest_lbs",12,"actual",0,0,0,"Large males (>5.5in)"
"119",12,"harvest_lbs",12,"actual",0,0,0,"Peelers"
"120",12,"harvest_lbs",12,"actual",0,0,0,"Small males (5-5.5in)"
