"","policy","temp_band","mean_cost","se_cost","mean_recovery_time","se_recovery_time","recovery_proportion","se_recovery_proportion"
"1","Status quo","Delta*T==1*'-'*7*degree*C",0,0,0,1.81288103384074,0.928571428571429,0.0230350221379959
"2","Status quo","Delta*T==8*'-'*10*degree*C",0,0,0,3.55279713261322,0.333333333333333,0.0647523908238176
"3","Increase male size limit","Delta*T==1*'-'*7*degree*C",-0.461844940880839,0.000538095281537184,24.4976993865031,0.621056077030835,0.880893300248139,0.00807015690941449
"4","Increase male size limit","Delta*T==8*'-'*10*degree*C",-0.303799742504286,0.0141826396350642,9.2512315270936,0.998415158918952,0.552748885586924,0.019180283274035
"5","No fishing females","Delta*T==1*'-'*7*degree*C",-0.526860104877466,0.000682178626529655,-15.966265060241,0.226559573174706,1,0
"6","No fishing females","Delta*T==8*'-'*10*degree*C",-0.403527035600977,0.00974098498091533,-16.745652173913,0.868434751768947,0.745829244357213,0.0136461017490615
"7","No fishing males","Delta*T==1*'-'*7*degree*C",-0.70587584036103,0.00666983987498995,-11.6165172855314,0.291806685076679,0.998815867377146,0.000837060152866764
"8","No fishing males","Delta*T==8*'-'*10*degree*C",-0.632059494435614,0.0170318461671239,-14.5130434782609,1.1177168771565,0.690042075736325,0.0173320192036798
"9","Full closure","Delta*T==1*'-'*7*degree*C",-0.722797091579977,0.00331585332132717,-15.406,0.21261385514434,1,0
"10","Full closure","Delta*T==8*'-'*10*degree*C",-0.543534868434201,0.0154223092305908,-19.7768240343348,1.08782212716505,0.765217391304348,0.0161478894247304
